ID,DATE,ISO_3,PAYS,ID_PAYS,REGION,ID_REGION,CONTAMINES,DECES,GUERIS,CONTAMINES_FEMME,CONTAMINES_HOMME,CONTAMINES_GENRE_NON_SPECIFIE,NOUVEAUX_INDIVIDUS_VACCINES,TOTAL_INDIVIDUS_VACCINES (1 dose),SOURCE
1,28/02/2020,SEN,Sénégal,12,Dakar,117,1,0,0,0,1,0,,,Ministère de la santé
2,28/02/2020,SEN,Sénégal,12,Diourbel,118,0,0,0,0,0,0,,,Ministère de la santé
3,28/02/2020,SEN,Sénégal,12,Fatick,119,0,0,0,0,0,0,,,Ministère de la santé
4,28/02/2020,SEN,Sénégal,12,Kaffrine,120,0,0,0,0,0,0,,,Ministère de la santé
5,28/02/2020,SEN,Sénégal,12,Kaolack,121,0,0,0,0,0,0,,,Ministère de la santé
6,28/02/2020,SEN,Sénégal,12,Kédougou,122,0,0,0,0,0,0,,,Ministère de la santé
7,28/02/2020,SEN,Sénégal,12,Kolda,123,0,0,0,0,0,0,,,Ministère de la santé
8,28/02/2020,SEN,Sénégal,12,Louga,124,0,0,0,0,0,0,,,Ministère de la santé
9,28/02/2020,SEN,Sénégal,12,Matam,125,0,0,0,0,0,0,,,Ministère de la santé
10,28/02/2020,SEN,Sénégal,12,Saint-Louis,126,0,0,0,0,0,0,,,Ministère de la santé
11,28/02/2020,SEN,Sénégal,12,Sédhiou,127,0,0,0,0,0,0,,,Ministère de la santé
12,28/02/2020,SEN,Sénégal,12,Tambacounda,128,0,0,0,0,0,0,,,Ministère de la santé
13,28/02/2020,SEN,Sénégal,12,Thiès,129,0,0,0,0,0,0,,,Ministère de la santé
14,28/02/2020,SEN,Sénégal,12,Ziguinchor,130,0,0,0,0,0,0,,,Ministère de la santé
15,28/02/2020,SEN,Sénégal,12,Non spécifié,131,0,0,0,0,0,0,0,0,Ministère de la santé
16,29/02/2020,SEN,Sénégal,12,Dakar,117,0,0,0,0,0,0,,,Ministère de la santé
17,29/02/2020,SEN,Sénégal,12,Diourbel,118,0,0,0,0,0,0,,,Ministère de la santé
18,29/02/2020,SEN,Sénégal,12,Fatick,119,0,0,0,0,0,0,,,Ministère de la santé
19,29/02/2020,SEN,Sénégal,12,Kaffrine,120,0,0,0,0,0,0,,,Ministère de la santé
20,29/02/2020,SEN,Sénégal,12,Kaolack,121,0,0,0,0,0,0,,,Ministère de la santé
21,29/02/2020,SEN,Sénégal,12,Kédougou,122,0,0,0,0,0,0,,,Ministère de la santé
22,29/02/2020,SEN,Sénégal,12,Kolda,123,0,0,0,0,0,0,,,Ministère de la santé
23,29/02/2020,SEN,Sénégal,12,Louga,124,0,0,0,0,0,0,,,Ministère de la santé
24,29/02/2020,SEN,Sénégal,12,Matam,125,0,0,0,0,0,0,,,Ministère de la santé
25,29/02/2020,SEN,Sénégal,12,Saint-Louis,126,0,0,0,0,0,0,,,Ministère de la santé
26,29/02/2020,SEN,Sénégal,12,Sédhiou,127,0,0,0,0,0,0,,,Ministère de la santé
27,29/02/2020,SEN,Sénégal,12,Tambacounda,128,0,0,0,0,0,0,,,Ministère de la santé
28,29/02/2020,SEN,Sénégal,12,Thiès,129,0,0,0,0,0,0,,,Ministère de la santé
29,29/02/2020,SEN,Sénégal,12,Ziguinchor,130,0,0,0,0,0,0,,,Ministère de la santé
30,29/02/2020,SEN,Sénégal,12,Non spécifié,131,0,0,0,0,0,0,0,0,Ministère de la santé
31,01/03/2020,SEN,Sénégal,12,Dakar,117,0,0,0,0,0,0,,,Ministère de la santé
32,01/03/2020,SEN,Sénégal,12,Diourbel,118,0,0,0,0,0,0,,,Ministère de la santé
33,01/03/2020,SEN,Sénégal,12,Fatick,119,0,0,0,0,0,0,,,Ministère de la santé
34,01/03/2020,SEN,Sénégal,12,Kaffrine,120,0,0,0,0,0,0,,,Ministère de la santé
35,01/03/2020,SEN,Sénégal,12,Kaolack,121,0,0,0,0,0,0,,,Ministère de la santé
36,01/03/2020,SEN,Sénégal,12,Kédougou,122,0,0,0,0,0,0,,,Ministère de la santé
37,01/03/2020,SEN,Sénégal,12,Kolda,123,0,0,0,0,0,0,,,Ministère de la santé
38,01/03/2020,SEN,Sénégal,12,Louga,124,0,0,0,0,0,0,,,Ministère de la santé
39,01/03/2020,SEN,Sénégal,12,Matam,125,0,0,0,0,0,0,,,Ministère de la santé
40,01/03/2020,SEN,Sénégal,12,Saint-Louis,126,0,0,0,0,0,0,,,Ministère de la santé
41,01/03/2020,SEN,Sénégal,12,Sédhiou,127,0,0,0,0,0,0,,,Ministère de la santé
42,01/03/2020,SEN,Sénégal,12,Tambacounda,128,0,0,0,0,0,0,,,Ministère de la santé
